,Fraction of Mitochondrial Reads,Mapped Reads,% Mapped Reads,Properly Paired Reads,% Properly Paired Reads,Fraction of reads in Nucleosome-Free Regions (NFR),Prescence of Nucleosome-Free Peak (NFR),Prescence of Mono-Nucleosome Peak,Non-Redundant Fraction (NRF),PCR-Bottleneck Coefficient 1 (PBC1),Number of Raw Peaks,Transcription Start Site (TSS) Enrichment,Fraction of Reads in Peak (FRiP) in Overlap Peaks,Fraction of Reads in universal DHS regions,Fraction of Reads in blacklist regions,Fraction of Reads in promoter regions,Fraction of Reads in enhancer regions
CASE-NEUYY225MNZ-8900-E,0.13643698792311404,255456473,99.1,252291398,97.89999999999999,0.14642001750311218,True,True,0.607294,0.611781,290060,11.883250052438507,0.1768442808618843,0.28682506153483217,0.0001403349081518256,0.13547037664118983,0.25816560020208895
CASE-NEUBD062TJV-8614-E,0.20940174814499807,184787936,99.0,180510392,96.7,0.43355868478445364,True,True,0.698041,0.707145,287691,12.662200284491428,0.14868925631841068,0.27168414728588014,0.00027455342628376715,0.11889349413661471,0.25755613165630864
CTRL-NEUWT164JRQ-9159-E,0.16707597658806966,95960884,99.1,92810766,95.8,0.6087949990085346,True,True,0.746462,0.755248,269046,12.95032090110878,0.13203606006855614,0.27260078107204777,0.0002937456821015606,0.11657592938026791,0.25589288463027
CTRL-NEUGM959DE2-8684-E,0.17683370930586848,167505477,99.0,163490088,96.6,0.47172329669414337,True,True,0.671392,0.674528,259557,11.962595006565437,0.1364228138615024,0.25555314187336486,0.00019046459568050188,0.10519967175078877,0.2574986862536326
CTRL-NEUEU392AE8-9187-E,0.24105546995733387,105738518,99.3,103327598,97.0,0.39153572539006276,True,True,0.805025,0.821679,235978,14.092388309319615,0.2277576940984076,0.3390902814869788,0.0001029005803519034,0.16873779034407485,0.2763601531366989
CTRL-NEUEU392AE8-5230-E,0.2375808832120874,167756320,99.3,163400844,96.7,0.5084206318497992,True,True,0.738381,0.754401,281835,18.6337531309936,0.2700783695918069,0.35287133757896316,0.00012930121839160795,0.17634323460667967,0.274420688400509
CASE-NEUJK720JCL-9124-E,0.12716595725836805,34734795,98.9,34296842,97.6,0.012937824165972979,True,True,0.823329,0.828071,187976,8.906991750536235,0.09980123788452976,0.2531561001496162,0.0001715314442363779,0.10000849596942496,0.2586958643363602
CTRL-NEUPW536ZKZ-9173-E,0.17430320876029146,15481212,94.5,14825392,90.5,0.009163502709590562,True,True,0.87059,0.875632,134317,8.104347679459494,0.09375049918532954,0.2634021277275486,0.00010492875626976774,0.10350667710296796,0.2698995239768697
CASE-NEUMN012EVP-8928-E,0.17659921030149078,205532858,99.3,203332216,98.3,0.14224049183466322,True,True,0.643477,0.651535,291588,15.486275394005451,0.253591332358064,0.35101041256680543,0.00010617305695667789,0.1887254793909341,0.261865684931556
CASE-NEUGE540TC4-8893-E,0.1482572681150039,286173812,99.2,282675486,98.0,0.13260999419496505,True,True,0.540779,0.547543,292211,16.136526639255916,0.2620050460535417,0.35291963081600786,0.00012452118759492708,0.19860808638831745,0.24959390112963536
CTRL-NEUCV809LL4-8977-E,0.2552719461789777,285164287,99.4,281897672,98.3,0.10889269745035893,True,True,0.573263,0.584375,299608,13.689424002935773,0.22799556295647685,0.3264851405659599,6.732289335864344e-05,0.16914933287566516,0.2656084592166982
CTRL-NEURJ861MMD-8949-E,0.15666355627618525,274311914,99.1,270413456,97.7,0.12976094917570904,True,True,0.58651,0.593326,296983,12.75911164277673,0.20216632154415412,0.30605524770258036,0.00015068601674662137,0.15471203378612194,0.2566353051755052
CASE-NEUHK991AVP-9138-E,0.22820009774329447,142402079,99.2,139298050,97.0,0.38601433975191174,True,True,0.729448,0.742631,265440,12.768539622273742,0.18538989228664257,0.30087474791065394,0.00015160102977406135,0.1330327380556496,0.27892033284795414
CASE-NEUHG644RYB-9103-E,0.22209302714043597,172350211,99.0,167836336,96.39999999999999,0.41340972580130875,True,True,0.774098,0.788419,298156,13.503077507682786,0.2502378042637922,0.3379090981386589,9.498912533953955e-05,0.15728605908234447,0.29223067817069437
CTRL-NEUEU392AE8-8984-E,0.19489738943395374,229405477,99.2,227005670,98.2,0.18744926641285356,True,True,0.513825,0.522702,252912,19.26657430789348,0.28912852376636505,0.37329176469590375,0.00016570717754314096,0.21485627142605665,0.24934140621516446
CTRL-NEUAJ025JC3-8942-E,0.1518418947774698,232774493,99.3,229863874,98.0,0.11982383316806472,True,True,0.608967,0.614534,279497,13.710426287934045,0.22260015867606225,0.3279457503859235,0.00012960047698191214,0.16998841894235728,0.260157594552559
CTRL-NEUCV136DHM-9152-E,0.10840547232258076,79955490,98.9,77668620,96.1,0.596481993051572,True,True,0.733993,0.737284,182723,3.795881633716045,0.02810566352010923,0.17416684056613482,0.0004853683662861022,0.04207540123564621,0.23557935906164162
CASE-NEUAW157NMJ-8914-E,0.16461700857025385,279063330,99.2,275474220,98.0,0.12472390493802299,True,True,0.588434,0.595788,284542,14.75061376417127,0.24215001172507547,0.3323016034802488,0.00012134346213859331,0.17772139590107439,0.259141609127368
CASE-NEULZ548ZXV-9110-E,0.23777436928515772,155662494,98.7,151314178,96.0,0.4309684881783108,True,True,0.747537,0.77031,294150,15.715722825170593,0.2531007785997367,0.35169881550152365,0.00016788903867466935,0.1844270861018335,0.26794039328596947
CASE-NEUBW008RJ5-9131-E,0.14661039841991982,172939962,99.1,168022816,96.3,0.5379639578570862,True,True,0.737377,0.744458,278215,13.308875873531935,0.17648803547138645,0.29380667607995575,0.000253275099250544,0.13505284168202816,0.2573808729005755
CTRL-NEUHE723FGT-9145-E,0.23082767930578404,115083638,99.3,112312826,97.0,0.42571318353091075,True,True,0.766893,0.781101,255625,14.027815893642861,0.20261282915660642,0.31264903842974884,0.00020680051753699152,0.14255150220412188,0.27698018346460757
CTRL-NEUXC258VTR-9166-E,0.2345213456603098,161719605,99.2,157739608,96.8,0.4239075967929917,True,True,0.742625,0.756856,267098,15.448411084501924,0.25756298581952974,0.3513808123493794,0.00015368495297752417,0.1809186005759287,0.27463319553712584
CASE-NEUZY975XKL-9117-E,0.2254257312775267,142365674,99.1,138383430,96.3,0.4980846715679112,True,True,0.762172,0.779649,272237,21.69050426466065,0.29774483136876567,0.38467999133661845,0.00014515741862129207,0.21066405620783646,0.26937526089567576
CASE-NEUWD538KT3-8921-E,0.16495352174371175,237328805,99.2,234354676,98.0,0.13765492405419963,True,True,0.597873,0.603162,289743,16.840859936579683,0.27937055756923657,0.36229088249085256,0.00011186860281806194,0.2039143213915401,0.2572997590233453
CTRL-NEUYM011FER-8963-E,0.1761605313673143,215311063,99.3,212906980,98.2,0.14689599057400995,True,True,0.612994,0.623209,274837,15.246191741269511,0.25488661369465637,0.34329214168897787,0.0001365758958924753,0.18508592246372457,0.2572726355707257
CASE-NEUPK546ZLD-9096-E,0.23384427760582271,174595197,99.2,169293956,96.2,0.5633620929496174,True,True,0.743888,0.76212,272178,14.649726591998453,0.17987035220906886,0.29161019826983475,0.0002525054104618104,0.13613263357431798,0.26025527099383344
CASE-NEUGK693CJZ-8649-E,0.13186507583677398,32648440,97.39999999999999,32023868,95.6,0.018013980641573002,True,True,0.773628,0.779472,105819,4.162564959592458,0.02166419822040166,0.17452448619428187,0.0003474523581740937,0.04331427070878045,0.23275898513424223
CTRL-NEUMF089KLV-9180-E,0.2664714636930215,210969754,99.1,205870630,96.7,0.39155562028981566,True,True,0.723791,0.744307,291276,20.32009933127219,0.31944351087177014,0.3984517967106149,9.074648418558422e-05,0.22663643529948496,0.2692903957695264
CTRL-NEUPH301NNX-8970-E,0.19681453899419718,222826816,99.3,220017308,98.0,0.1507332714565887,True,True,0.579908,0.589899,263180,17.37300002111721,0.27523146671763266,0.37343832228055124,0.0001082498663510875,0.20916434706802312,0.258023819182063
CTRL-NEUDM126GNG-8956-E,0.17634438881786524,235189084,99.1,231826562,97.7,0.13754981090788387,True,True,0.617771,0.627199,274320,16.174862997024505,0.25553664910053975,0.3518096262714849,0.00012487852198312893,0.19733417425127425,0.2532733720598634
CASE-NEUEB422WW0-8907-E,0.19048204042495603,168012353,99.1,165766024,97.8,0.12824159843982258,True,True,0.651965,0.660869,237452,14.480869649719816,0.23754591942565176,0.33822317636609095,0.0001012056935122376,0.18567721849016944,0.25495500478132926
CTRL-NEUYM205MRL-8935-E,0.1541465376003954,270413774,99.3,267357910,98.1,0.14365802664002636,True,True,0.59157,0.596841,299520,14.215791826418988,0.23562380836569832,0.33002424744474,0.00012573980111096265,0.1715863556750517,0.26074313078053235
